title,sku,price,price_old,is_active,count
Щетка DeLIGHT резиновая (мет.зуб) на руку с каплей 47110 61 г,ПР0049827,887.00,709.6,True,достаточно
Пуходёрка DeLIGHT самоочищ. автомат. с плавающей головой большая 52371L 135 г,ПР0049831,1440.00,,True,достаточно
Щетка DeLIGHT с натуральной щетиной двухсторонняя 5321S 90 г,ПР0049840,1120.00,896,False,
"Расческа DeLIGHT c вращающимися зубьями, 24 зуба 348424А 48 г",ПР0049824,683.00,,True,достаточно
Фурминатор FURminator L для крупных собак с длинной шерстью 224 г,ПР0062455,4000.00,,True,достаточно
"Расческа DeLIGHT с ""кольцами"" двухсторонняя 348D 63 г",ПР0049823,1010.00,808,True,достаточно
Щетка FERPLAST GRO 5932 резин. на руку 228 г,Т0024403,709.00,,True,достаточно
"Щетка для животных TRIXIE мягкая, пластик/металлическая щетина 12x16см 121 г",ПР0060492,625.00,,True,достаточно
"Колтунорез DeLIGHT боковой ""мини"" 8 лезвий загнут 4308208N 70 г",ПР0049836,845.00,,False,
Матрас для животных DOGMODA Природа-3 101x76x7см 1.1 кг,ПР0041039,1510.00,,False,
Лежак для животных Сolour PRIDE Прованс 70х60х23см песочный 2.4 кг,ПР0049677,3420.00,,False,
"Матрас для животных DOGMODA Природа-2 (серый, черный) 87x62x7см 800 г",ПР0060298,1320.00,,False,
Матрас для животных DOGMODA Шоколад-2 85x59x7см 800 г,ПР0041041,2230.00,,False,
Лежанка для животных PRIDE Вояж 60х50х19см 1.9 кг,ПР0057520,2590.00,,False,
Лежанка для животных PRIDE Лавс Графити 60х50х19см 1.9 кг,ПР0057516,2490.00,,False,
Ступеньки для животных ПУШОК 60х30х30см 9.5 кг,ПР0070775,2580.00,,True,достаточно
Домик для животных FOXIE Abstraction Waves 40х40x35см 650 г,ПР0068448,3089.00,,False,
Лежак для животных FOXIE Cream Sofa 60х50см бежевый 1.6 кг,ПР0068413,3509.00,,False,
Лежак-трансформер для животных FOXIE Cream Fantasy 46х60см синяя бирюза 1.4 кг,ПР0068423,2339.00,,False,
Домик для животных FOXIE Cream Point 51х46x33см королевский синий 950 г,ПР0068429,4459.00,2675.4,True,мало
Лежак для животных FOXIE Abstraction Lines 60х50см 1.4 кг,ПР0068436,2869.00,1721.4,False,
Софа для кошек FERPLAST Colour Diamante Medium мягкая 53х50х16см 639 г,Т00001552,2670.00,,False,
Лежак для животных FOXIE Bohemia 47x37x17см синий 550 г,ПР0068518,1919.00,1151.4,True,мало
Лежак для животных FOXIE Abstraction Circles 60х50см 1.4 кг,ПР0068432,2869.00,,False,
Лежак для животных FOXIE Bohemia 75x58x19см синий 1.25 кг,ПР0068520,3089.00,1853.4,True,мало
Лежак для животных FOXIE Abstraction Blacky 57х57x18см круглый 1 кг,ПР0068442,3399.00,2039.4,True,мало
Переноска для животных MPS SKUDO 4  68х48х51h см с металлической дверцей с замком серая 3.86 кг,Т0043632,9490.00,,True,мало
Переноска для животных MPS SKUDO 3  60х41х40h см с металлической дверцей с замком серая 2.07 кг,Т0043630,4190.00,,True,мало
"Переноска для животных MPS SKUDO 1  48х31,5х31h см с металлической дверцей с замком серая 1.26 кг",ПР0001244,2610.00,,True,мало
Переноска для животных FERPLAST Jet 1 47х32х29см 867 г,ПР0048829,1780.00,,True,мало
Переноска FERPLAST Atlas 40 для средних и крупных собак 3.718 кг,Т0029006,11400.00,,True,достаточно
Переноска FERPLAST Jet 20 (без аксессуаров) для собак и кошек 1.246 кг,ПР0056555,2650.00,,True,мало
"Переноска для животных FERPLAST ATLAS 10 EL 48x32,5х29см 1.331 кг",Т0033954,2340.00,,True,достаточно
"Рюкзак для собак FERPLAST Kangoo L, серый (полиэстэр) 41,5х20х43см 530 г",ПР0049297,5950.00,,True,мало
"Переноска для животных MPS SKUDO 5  79х58,5х65h см с металлической дверцей с замком серая 7.16 кг",Т0043633,12800.00,,False,
Переноска для животных MPS SKUDO 2  55х36х35h см с металлической дверцей с замком серая 1.68 кг,Т0043628,3280.00,,True,мало
"Переноска для животных FERPLAST Atlas 5 Puppy (без аксессуаров) 28x41,5xh24,5см 815 г",ПР0051659,2060.00,,True,достаточно
Переноска для животных FERPLAST ATLAS 20 EL 58x37x32см 1.93 кг,Т0028562,3360.00,,True,мало
Сумка-переноска для животных FOXIE Travel 50х25х28см 950 г,ПР0063229,4149.00,,True,достаточно
Колеса MPS RUOTA для переносок SKUDO 4-7 4 шт. 1.3 кг,ПР0049542,3810.00,,True,мало
Сумка-переноска для животных FOXIE Cats 43х25х24см 800 г,ПР0058595,3689.00,,True,достаточно
"Переноска для животных MPS PRATICO 48х31,5х33h см с пластиковой дверцей в ассортименте 920 г",ПР0013699,1810.00,,True,мало
"Комплект колес для переноски FERPLAST L440 для Atlas 10, 20, 30, 40 450 г",ПР0045401,2490.00,,True,мало
"Переноска для животных FERPLAST ATLAS 10 48x32,5x29см 1.527 кг",Т0038405,3760.00,,True,достаточно
Сумка-переноска для животных FOXIE Lucky 50х25х28см 950 г,ПР0063228,4149.00,,True,достаточно
Вольер FERPLAST DOG TRAINING 80x80x62см 5.95 кг,Т0037585,9350.00,,True,мало
Вольер для животных MIDWEST Life Stages 8 панелей 61х61hсм с дверью-MAXLock черный 7.8 кг,ПР0046522,9590.00,7192.5,True,мало
